Reference, Value, Footprint, Datasheet
"J1","PASOPIA7 BUS","Connector_PinHeader_2.54mm:PinHeader_2x25_P2.54mm_Horizontal","~"
"C1","100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"U2","74LS30","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS30"
"U1","74LS04","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"C2","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C3","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"J2","Micro_SD_Card_Kit","Kicad:AE-microSD-LLCNV","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
"C4","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"U3","8255","Package_DIP:DIP-40_W15.24mm_LongPads","http://aturing.umcs.maine.edu/~meadow/courses/cos335/Intel8255A.pdf"
"U4","Arduino_Pro_Mini_5V","Kicad:Arduino_Pro_Mini","https://www.sparkfun.com/products/11113"
"J3","MicroSD Card Adapter","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"U13","74LS245","Package_DIP:DIP-20_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS245"
"C12","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C13","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"U6","74LS04","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"U7","74LS10","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS10"
"U5","74LS30","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS30"
"U9","74LS193","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/sn74ls193.pdf"
"U10","74LS193","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/sn74ls193.pdf"
"U11","74LS193","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/sn74ls193.pdf"
"U8","74LS14","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS14"
"R1","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"C14","220pF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C9","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C10","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C11","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C5","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C6","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C7","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"C8","0.1uF","Capacitor_THT:C_Rect_L4.0mm_W2.5mm_P2.50mm","~"
"U12","2764","Package_DIP:DIP-28_W15.24mm_LongPads","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"J4","IN 5V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~"
"S1","IN / OUT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J5","EXT 5V","Connector_BarrelJack:BarrelJack_Horizontal","~"
